catalog,po,line,severity,rule,message,source,plural_source,translations,findings_in_same_entry
locale-langpack/Linux-PAM,po/locale-langpack/Linux-PAM.po,16,warning,punctuation-mismatch,Source contains ':' but translation does not, %a %b %e %H:%M:%S %Z %Y,,"{""None"": "" %a %e %b %Y %H.%M.%S %Z""}",
locale-langpack/Linux-PAM,po/locale-langpack/Linux-PAM.po,42,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"...Sorry, your time is up!
",,"{""None"": ""...Tyvärr, din tid är ute!\n""}",
locale-langpack/Linux-PAM,po/locale-langpack/Linux-PAM.po,45,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"...Time is running out...
",,"{""None"": ""...Tiden håller på att ta slut...\n""}",
locale-langpack/Linux-PAM,po/locale-langpack/Linux-PAM.po,75,warning,punctuation-mismatch,Source contains ';' but translation does not,Authentication token is no longer valid; new one required,,"{""None"": ""Autentiseringselement är inte längre giltigt. Ett nytt behövs""}",
locale-langpack/Linux-PAM,po/locale-langpack/Linux-PAM.po,301,warning,punctuation-mismatch,Source contains ';' but translation does not,Your account has expired; please contact your system administrator.,,"{""None"": ""Ditt konto har förfallit. Vänligen kontakta din systemadministratör.""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,58,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<file>', '<file>'], translation has ['<fil>', '<fil>']","Add an additional layer of HMAC authentication on top of the TLS control channel to protect against DoS attacks. In case of TLS-Crypt mode, the control channel is also encrypted.
config: tls-auth <file> [direction] | tls-crypt <file>",,"{""None"": ""Lägg till ett ytterligare lager med HMAC-autentisering ovanpå TLS-kontrollkanalen som skydd mot DoS-attacker. Vad gäller TLS-Crypt-läge så krypteras också kontrollkanalen.\nkonfig: tls-auth <fil> [riktning] | tls-crypt <fil>""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,235,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<file>'], translation has ['<fil>']","Direction for Static Key encryption mode (non-TLS).
If key direction is used, it must be the opposite of that used on the VPN peer. For example, if the peer uses “1”, this connection must use “0”. If you are unsure what value to use, contact your system administrator.
config: static <file> [direction]",,"{""None"": ""Riktning för krypteringsläge med statisk nyckel (icke-TLS).\nOm nyckelriktning används så måste den vara motsatsen till den som används på VPN-motparten. Om exempelvis motparten använder ”1” måste denna anslutning vara ”0”. Om du är osäker vilket värde du ska använda kan du kontakta din systemadministratör.\nkonfig: static <fil> [riktning]""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,244,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<file>'], translation has ['<fil>']","Direction parameter for static key mode.
If key direction is used, it must be the opposite of that used on the VPN peer. For example, if the peer uses “1”, this connection must use “0”. If you are unsure what value to use, contact your system administrator.
config: tls-auth <file> [direction]",,"{""None"": ""Riktningsparameter för statiskt nyckelläge.\nOm nyckelriktning används så måste den vara motsatsen till den som används på VPN-motparten. Om exempelvis motparten använder ”1” måste denna anslutning vara ”0”. Om du är osäker vilket värde du ska använda kan du kontakta din systemadministratör.\nkonfig: tls-auth <fil> [riktning]""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,402,info,source-equals-translation,Translation is identical to source (possibly untranslated),LZ4 v2,,"{""None"": ""LZ4 v2""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,469,info,source-equals-translation,Translation is identical to source (possibly untranslated),Path mtu _discovery,,"{""None"": ""Path mtu _discovery""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,479,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<file>'], translation has ['<fil>']","Pre-shared file for Static Key encryption mode (non-TLS).
config: static <file>",,"{""None"": ""Förutdelad fil för krypteringsläge med statisk nyckel (icke-TLS).\nkonfig: static <fil>""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,644,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<file>'], translation has ['<fil>']","Specify a file containing one or more PEM certs (concatenated together) that complete the local certificate chain.
config: extra-certs <file>",,"{""None"": ""Specificera en fil innehållandes en eller flera PEM-certifikat (konkatenerade tillsammans) för att färdigställa den lokala certifikatskedjan.\nkonfig: extra-certs <fil>""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,715,info,source-equals-translation,Translation is identical to source (possibly untranslated),TLS-Crypt v2,,"{""None"": ""TLS-Crypt v2""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,798,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<name>'], translation has ['<namn>']","Use custom name for TUN/TAP virtual device (instead of default “tun” or “tap”).
config: dev <name>",,"{""None"": ""Använd anpassat namn för virtuell TUN/TAP-enhet (istället för standard ”tun” eller ”tap”).\nkonfig: dev <namn>""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,920,warning,inconsistent-capitalization,"Source starts with uppercase, translation with lowercase",_Remote peer certificate nsCert designation,,"{""None"": ""nsCert-angivning fö_r avlägset motpartscertifikat""}",
locale-langpack/NetworkManager-openvpn,po/locale-langpack/NetworkManager-openvpn.po,1061,warning,same-plurals,"All plural forms are identical, but source forms differ",option %s expects between %u and %u argument,option %s expects between %u and %u arguments,"{""0"": ""flaggan %s förväntar sig mellan %u och %u argument"", ""1"": ""flaggan %s förväntar sig mellan %u och %u argument""}",
locale-langpack/NetworkManager-pptp,po/locale-langpack/NetworkManager-pptp.po,80,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<domain>', '<domain>'], translation has []","Append the domain name <domain> to the local host name for authentication purposes.
config: domain <domain>",,"{""None"": ""Lägg till domännamnet <domän> till det lokala värdnamnet för autentiseringssyften.\nkonfig: domain <domän>""}",
